image,date,source,post_text,district,language,domain,notes,platform,source_name,signal_strength,predicted_domain,pred_score
,08/08/2026,,"অসমৰ শেহতীয়া বান আৰু জলবায়ু পৰিৱৰ্তন। অবাধ বনাঞ্চল ধ্বংস, পাহাৰ কটা, কয়লা খনন, আৰু অন্যান্য পৰিৱেশ ধ্বংসই বান আৰু ভূমিস্খলনক অধিক ভয়াৱহ কৰি তুলিছে। ব্ৰহ্মপুত্ৰ অবৱাহিকাৰ বান আৰু গৰাখহনীয়াৰ ফলত হোৱা আৰ্থ-সামাজিক ক্ষতিৰ ফলত উত্তৰ-পূব ভাৰতৰ বহনক্ষম উন্নয়ন অসম্ভৱ হৈ পৰিব। উষ্ণ বায়ুমণ্ডলত অধিক জলীয় বাষ্প পুজ্ঞীভুত হয়, যাৰ ফলত ধুমুহাই পূৰ্বতকৈ বহু বেছি বৰষুণ উৎপন্ন কৰিবলৈ সক্ষম হয়।",Assam (General),Assamese,Flood,"Detailed climate-flood analysis shared from Dainik Asom — discusses Brahmaputra flooding, climate change, deforestation causing floods — STRONG flood+weather signal",Facebook,Rubul Mout (Public Post — Dainik Asom article shared),Strong,Flood,13
,03/06/2025,,"জলবায়ুৰ পৰিবৰ্তন নিয়ন্ত্ৰণ, কৃত্রিম বুদ্ধিমত্তাৰ (এ.আই.) ব্যৱহাৰ আৰু আমাৰ কৰণীয়। তেজপুৰত আশাবাদী অনুভৱ।",Sonitpur,Assamese,Weather,Climate change awareness post from Tezpur — Weather/Environment signal,Facebook,Hemanta Kishore Pathak (Public Post),Weak,General,0
,6 days ago (Aug 2026),,"#বান আহে, প্ৰশ্নবোৰ ৰৈ যায়",Assam (General),Assamese,Flood,"Short poignant flood commentary — flood comes, questions remain — community flood signal",Facebook,Ashim Kumar Hazarika (Public Post),Weak,Flood,3
,26/06/2026,,দেশৰ বৃহৎ এলেকাত নাই মৌচুমীৰ স্পৰ্শ। মৌচুমীৰ আগমন নঘটাত কেইবাখনো ৰাজ্যত কম বৃষ্টিপাত। কম বৃষ্টিপাতত ধানকে ধৰি কৃষি ক্ষতিগ্ৰস্ত হোৱাৰ শংকা। কম বৃষ্টিপাতৰ বাবেই দেশত হ্ৰাস হ'ব পাৰে কৃষি উৎপাদন।,Assam (General),Assamese,Agriculture,Prag News verified page — monsoon failure causing agricultural damage — paddy and crops at risk — DUAL Agriculture+Weather signal,Facebook,Prag News (Verified Page),Strong,Weather,3
,30/05/2025,,"আগতীয়াকৈ আগমন ঘটিল মৌচুমীৰ। দেশত মৌচুমীৰ আগতীয়া আগমনৰ পিছতে কেৰালা, অসম, অৰুণাচলত জাৰি কৰা হৈছে ৰেড এলাৰ্ট। ইতিমধ্যে যোৱা ৩ দিন ধৰি অসমত নেৰানেপেৰা বৰষুণৰ ফলত সৃষ্টি হৈছে বান পৰিস্থিতি।",Assam (General),Assamese,Weather,Pratham Khabar 24x7 — early monsoon arrival — RED ALERT for Assam — continuous 3-day rain causing flood situation — Strong Weather+Flood dual signal,Facebook,Pratham Khabar 24x7 (Verified News Page),Strong,Weather,7
,2024-2025,,ৰাণীত হাতী আৰু মানুহৰ সংঘাত। খাদ্যৰ সন্ধানত বৃহৎ জাক বা কেতিয়াবা এটা হাতীয়ে বনাঞ্চলৰ সীমামূৰীয়া জনাঞ্চলত প্ৰৱেশ কৰি ধন-জনৰ ক্ষতি কৰাৰ উপৰি খেতি-বাতি খাই নষ্ট কৰি আহিছে। ২০২৪ চনত নিশা মিকিৰপাৰাত কমল কলিতাক পথৰ দাতিত গচকি হত্যা কৰে। ২৩ অক্টোবৰ ২০২৪ত ৰাণী-মৈৰাং পথত সুৱল সূত্ৰধৰক মূৰত গচকি হত্যা কৰে।,Kamrup Metro,Assamese,Elephant,Detailed community report on HEC in Rani reserved forest near Guwahati — multiple human deaths documented 2010-2024 — crop destruction — STRONG elephant+agriculture signal,Facebook,Kandarp Boro (Public Post — Rani area community),Strong,Elephant,3
,10/07/2024,,ৰাজ্যত খেতি নষ্ট হোৱা লাখ লাখ কৃষকৰ বাবে ডাঙৰ খবৰ। প্ৰতিগৰাকী কৃষকে লাভ কৰিব নষ্ট হোৱা খেতিৰ ক্ষতিপূৰণ। আজিয়েই ফোন কৰক 14447 নম্বৰত।,Assam (General),Assamese,Agriculture,Lakhs of farmers with crop damage eligible for compensation — STRONG agriculture signal across Assam,Facebook,চানখোলা খবৰ (News Page),Strong,Agriculture,5
,26/05/2020,,কোকৰাঝাৰ চহৰৰ গাতে লাগি থকা চেচাঁপানী গাওঁৰ শতাধিক কৃষকৰ মাজত হাঁহাকাৰ।,Kokrajhar,Assamese,Agriculture,Kokrajhar — hundreds of farmers in distress — Agriculture signal,Facebook,Kokrajhar Live 24x7 (News Page),Moderate,Flood,1
,28/07/2026,,মাননীয় ভাৰতৰ প্ৰধানমন্ত্ৰী নৰেন্দ্ৰ মোদী ডাঙৰীয়ালৈ এখনি খোলা চিঠি। বিষয় — শিৱসাগৰ সমূহ বানপিড়িত ৰাইজৰ আৰ্তনাদ সমূহ।,Sivasagar,Assamese,Flood,Open letter to PM Modi about Sivasagar flood victims — community cry for help — STRONG flood signal Sivasagar,Facebook,Abismita Hazarika (Public Post),Strong,Flood,4
,08/08/2026,,কোব্ৰা ইফেক্ট আৰু অসমৰ বানপানী।,Assam (General),Assamese,Flood,Intellectual commentary on Assam floods using Cobra Effect analogy — flood signal,Facebook,Chittaranjan Ojah (Public Post),Moderate,Flood,7
,01/06/2024,,মায়ঙত বৰো ধানৰ খেতি চপাব নোৱাৰি ত্ৰাহি মধুসুদন সুঁৱৰিছে কৃষকসকলে। অঞ্চলটোত বিঘাই বিঘাই ধান নষ্ট হোৱাৰ উপক্ৰম হৈছে কৃষকৰ।,Morigaon,Assamese,Agriculture,Pratidin Time — Mayang (Morigaon district) — farmers cannot harvest boro paddy — acres of rice destroyed — STRONG agriculture signal,Facebook,Pratidin Time (Verified News Page),Strong,Agriculture,12
,03/06/2025,,"মাজুলীত কৃষকৰ হাহাকাৰ। জেঠমহীয়া বানত বুৰিল শ শ বিঘা বড়ো ধানৰ খেতি। বান কমাৰ পাছতে নষ্ট হৈছে ধান। পকিবলৈ ধৰা বড়ো ধান পলস, পানীত বিনষ্ট।",Majuli,Assamese,Agriculture,DY365 — Majuli — hundreds of bighas boro paddy submerged in pre-monsoon flood — ripening rice destroyed in silt — STRONG Agriculture+Flood dual signal,Facebook,DY365 (Verified News Page),Strong,Agriculture,9
,31/07/2026,,"পৰিৱেশ, বন আৰু জলবায়ু পৰিৱৰ্তন বিভাগৰ মুখ্য অগ্ৰাধিকাৰসমূহৰ ওপৰত বিষয়াৰে আলোচনা মন্ত্ৰী জয়ন্ত মল্ল বৰুৱাৰ।",Assam (General),Assamese,Weather,Environment and Climate Change Minister discussing priorities — climate/environment signal,Facebook,EM News 24 (News Page),Weak,Weather,3
,29/07/2023,,জলবায়ু পৰিৱৰ্তনে দিনে দিনে বিপৰ্যয় বৃদ্ধি কৰিছে পৃথিৱীত। সম্প্ৰতি অস্বাভাৱিক গ্ৰীষ্মপ্ৰবাহে পৃথিৱীৰ প্ৰান্তে প্ৰান্তে সৃষ্টি কৰিছে বিষম পৰিস্থিতিৰ। এইবাৰেই জুলাই মাহৰ গৰম অসাধাৰণভাৱে অধিক হৈছে — পৃথিৱীৰ উষ্ণতম সময়।,Assam (General),Assamese,Weather,Pratidin Time — climate change causing increasing disasters — abnormal heatwave globally and in Assam — STRONG Weather signal,Facebook,Pratidin Time (Verified News Page),Strong,Weather,3
,15/07/2026,,ধুবুৰীৰ গৰাখহনীয়া সমস্যা সন্দৰ্ভত সদনত বক্তব্য ধুবুৰী সমষ্টিৰ বিধায়িকা বেবী বেগমৰ।,Dhubri,Assamese,Flood,North East Bulletin — Dhubri MLA Baby Begum speaks in Assembly about Dhubri river erosion crisis — STRONG Flood+Erosion signal for Dhubri district,Facebook,North East Bulletin (News Page),Strong,Flood,9
,20/08/2026,,টিপকাই নৈৰ বাঢ়নী পানীয়ে গদাধৰ নৈত খুন্দা মৰাৰ ফলত ধুবুৰীত আৰম্ভ হ'ল গৰাখহনীয়া। তথাপিও সঁহাৰি পোৱা নাই জিলা প্ৰশাসন তথা কোনো এজন জনপ্ৰতিনিধিৰ।,Dhubri,Assamese,Flood,Dainik Asam — TODAY post — Tipkai river surge causing Gadhadar river erosion in Dhubri — no administrative response — STRONG flood+erosion signal — very recent,Facebook,Dainik Asam (Major Assamese Newspaper Page),Strong,Flood,13
,07/01/2026,,ব্ৰহ্মপুত্ৰ নদীৰ গৰাখহনীয়া নিয়ন্ত্ৰণ কৰিবলৈ নিজ বাঘবৰৰ পৰা সত্ৰকনৰালৈ মুঠ ২৬ কোটি ৯৩ লাখ টকা আৰু বামুণ দঙৰা-যাদৱপুৰ অঞ্চলৰ বাবে ২ কোটি ৮৫ লাখ টকা মঞ্জুৰ হৈছে। বহৰিৰ পৰা বাঘবৰলৈ গৰাখহনীয়া নিয়ন্ত্ৰণ কৰিবলৈ Asian Development Bankৰ অধীনত ১২৬ কোটি টকাৰ কাম মাৰ্চৰ পৰা আৰম্ভ হোৱাৰ সম্ভাৱনা।,Barpeta,Assamese,Flood,Official post — 26 crore sanctioned for Brahmaputra erosion control Bagbor-Satrakonal — ADB 126 crore project — government response to chronic erosion — Flood signal Barpeta,Facebook,Sherman Ali Ahmed (Public Post — MP/MLA),Strong,Flood,10
,12/06/2025,,বেঁকী নৈৰ গৰাখহনীয়া আৰু বেদখলকাৰীৰ কবলত সৰভোগৰ ঐতিহাসিক বিমানঘাটিৰ শেষ স্মৃতি।,Barpeta,Assamese,Flood,Sorbhog 24 — Beki river erosion destroying historic Sorbhog airfield — erosion signal Barpeta district,Facebook,SORBHOG 24 (Local News Page),Moderate,Flood,9
,18/08/2026,,আজ আলগাপুর-কাটলিছড়া বিধানসভা সমষ্টির অন্তর্গত শাহবাদ গ্রাম পঞ্চায়েত এলাকার কাটাখাল নদীর ভয়াবহ ভাঙন পরিদর্শন করি। ভাঙন একটি নদীর পাশাপাশি মানুষের জনজীবনের জন্যও ঝুঁকিপূর্ণ।,Hailakandi,Bengali,Flood,"Hailakandi — Katakhal river severe erosion inspection — Bengali-language post showing multilingual nature of Assam social media — Flood+Erosion signal, adds new district and language",Facebook,Zubair Anam (Public Post — Hailakandi),Strong,Flood,4
,09/08/2026,,ৰাজ্যৰ উন্নয়ন আৰু বিকাশৰ কাৰণে মুখ্যমন্ত্ৰী ডাঙৰীয়াই যি কৰে বালেই কৰে। উন্নয়ন বিকাশৰ নামত কিমান আৰু প্ৰকৃতিৰ ওপৰত ধ্বংস যজ্ঞ পাতি থাকিব।,Assam (General),Assamese,Agriculture,Environmental protest post — development destroying nature in Assam — deforestation concern — Agriculture/Environment signal,Facebook,Jyotirmoy Kalita (Public Post — Deforestation Assam page member),Weak,General,0
,08/08/2026,,"Assam government wants to shrink the Eco-Sensitive Zone around Kaziranga National Park from the current 10-km default to just 1 km, to facilitate development near the park. This threatens elephant corridors and will worsen human-elephant conflict.",Golaghat,English,Elephant,Kaziranga ESZ reduction — direct threat to elephant corridors — will increase HEC — STRONG Elephant signal — English post adds linguistic diversity,Facebook,Sunayana Dutta (Public Post — Kaziranga),Strong,Elephant,6
